BHT_SIZE_BITS,PHT_SIZE_BITS,HIST_LEN,trace,instructions,branches,cond_branches,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_latency,p2_latency,energy_per_inst
7,9,4,test,2004999,396599,334545,2004999,93482,0,0,33269,0.853333,0.866667,104
7,9,5,test,2004999,396599,334545,2004999,102588,0,0,31043,0.856667,0.87,112
7,9,6,test,2004999,396599,334545,2004999,110366,0,0,29200,0.85,0.863333,130
7,9,7,test,2004999,396599,334545,2004999,116749,0,0,28149,0.856667,0.87,142
7,9,8,test,2004999,396599,334545,2004999,123600,0,0,29989,0.906667,0.92,155
7,9,9,test,2004999,396599,334545,2004999,129938,0,0,31811,0.926667,0.94,141
7,9,10,test,2004999,396599,334545,2004999,135766,0,0,33010,0.93,0.943333,149
7,9,11,test,2004999,396599,334545,2004999,140863,0,0,36171,0.933333,0.946667,157
7,9,12,test,2004999,396599,334545,2004999,146184,0,0,37647,0.933333,0.946667,177
7,10,4,test,2004999,396599,334545,2004999,92784,0,0,33000,0.886667,0.9,146
7,10,5,test,2004999,396599,334545,2004999,101780,0,0,30816,0.9,0.913333,168
7,10,6,test,2004999,396599,334545,2004999,109440,0,0,29024,0.916667,0.93,162
7,10,7,test,2004999,396599,334545,2004999,115710,0,0,27970,0.92,0.933333,176
7,10,8,test,2004999,396599,334545,2004999,122460,0,0,29778,0.98,0.993333,197
7,10,9,test,2004999,396599,334545,2004999,128678,0,0,31605,0.976667,0.99,206
7,10,10,test,2004999,396599,334545,2004999,134388,0,0,32667,0.983333,0.996667,221
7,10,11,test,2004999,396599,334545,2004999,139347,0,0,35823,0.99,1.00333,236
7,10,12,test,2004999,396599,334545,2004999,144516,0,0,37180,0.996667,1.01,250
7,11,4,test,2004999,396599,334545,2004999,92576,0,0,32915,0.963333,0.976667,187
7,11,5,test,2004999,396599,334545,2004999,101541,0,0,30700,0.963333,0.976667,208
7,11,6,test,2004999,396599,334545,2004999,109175,0,0,28871,0.976667,0.99,235
